         66592 function calls (59392 primitive calls) in 1.402 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      372    1.207    0.003    1.209    0.003 {method 'write' of '_io.TextIOWrapper' objects}
      100    0.073    0.001    0.073    0.001 {method 'recv' of '_socket.socket' objects}
      372    0.012    0.000    0.012    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      100    0.007    0.000    0.007    0.000 {method 'sendall' of '_socket.socket' objects}
15236/8036    0.007    0.000    0.012    0.000 encoder.py:333(_iterencode_dict)
       70    0.006    0.000    0.007    0.000 encoder.py:204(iterencode)
      186    0.005    0.000    0.014    0.000 __init__.py:278(__init__)
      186    0.004    0.000    0.004    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      372    0.004    0.000    0.004    0.000 {built-in method time.localtime}
      372    0.004    0.000    0.004    0.000 {built-in method time.strftime}
     7476    0.003    0.000    0.009    0.000 encoder.py:277(_iterencode_list)
      558    0.003    0.000    0.017    0.000 __init__.py:646(format)
       70    0.003    0.000    0.024    0.000 encoder.py:182(encode)
     8036    0.002    0.000    0.014    0.000 encoder.py:413(_iterencode)
      372    0.002    0.000    1.235    0.003 __init__.py:1067(emit)
      186    0.002    0.000    0.004    0.000 ntpath.py:180(split)
      372    0.002    0.000    0.016    0.000 __init__.py:1056(flush)
      186    0.002    0.000    0.004    0.000 __init__.py:1502(findCaller)
       84    0.002    0.000    0.005    0.000 Game.py:212(update_game_state)
      558    0.002    0.000    0.002    0.000 __init__.py:425(_format)
     1554    0.002    0.000    0.002    0.000 Character.py:26(display)
      186    0.002    0.000    1.279    0.007 __init__.py:1553(_log)
      186    0.001    0.000    0.017    0.000 handlers.py:181(shouldRollover)
     6864    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      372    0.001    0.000    1.257    0.003 __init__.py:935(handle)
      186    0.001    0.000    1.258    0.007 __init__.py:1633(callHandlers)
      166    0.001    0.000    0.199    0.001 __init__.py:1424(info)
      744    0.001    0.000    0.002    0.000 __init__.py:892(acquire)
      186    0.001    0.000    0.001    0.000 ntpath.py:124(splitdrive)
       16    0.001    0.000    1.122    0.070 Player.py:20(play)
      186    0.001    0.000    0.040    0.000 handlers.py:65(emit)
      558    0.001    0.000    0.018    0.000 __init__.py:912(format)
      186    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
      372    0.001    0.000    0.008    0.000 __init__.py:578(formatTime)
      186    0.001    0.000    0.001    0.000 ntpath.py:44(normcase)
      558    0.001    0.000    0.001    0.000 __init__.py:354(getMessage)
      186    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
       16    0.001    0.000    0.057    0.004 Player.py:325(move)
      558    0.001    0.000    0.001    0.000 __init__.py:787(filter)
       84    0.001    0.000    0.002    0.000 Game.py:216(<listcomp>)
      186    0.001    0.000    1.259    0.007 __init__.py:1579(handle)
      186    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      186    0.001    0.000    0.015    0.000 __init__.py:1538(makeRecord)
      186    0.001    0.000    0.002    0.000 ntpath.py:203(splitext)
      558    0.001    0.000    0.002    0.000 __init__.py:624(usesTime)
      558    0.001    0.000    0.001    0.000 __init__.py:417(usesTime)
      745    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      744    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       32    0.001    0.000    0.056    0.002 Player.py:90(activate_power)
       16    0.001    0.000    0.064    0.004 Player.py:44(select)
       50    0.001    0.000    0.014    0.000 utils.py:27(send_json_to_player)
     1960    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
      744    0.001    0.000    0.001    0.000 __init__.py:899(release)
      558    0.001    0.000    0.002    0.000 __init__.py:428(format)
       50    0.001    0.000    0.001    0.000 __init__.py:244(detect_encoding)
      186    0.001    0.000    0.001    0.000 cp1252.py:18(encode)
       70    0.001    0.000    0.024    0.000 __init__.py:183(dumps)
      558    0.001    0.000    0.003    0.000 __init__.py:630(formatMessage)
      100    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      186    0.001    0.000    0.001    0.000 {built-in method time.time}
      100    0.001    0.000    0.074    0.001 protocol.py:4(recvall)
       50    0.001    0.000    0.003    0.000 __init__.py:299(loads)
       50    0.001    0.000    0.078    0.002 utils.py:12(receive_json_from_player)
       50    0.000    0.000    0.007    0.000 protocol.py:23(send_json)
      558    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       50    0.000    0.000    0.001    0.000 decoder.py:332(decode)
      186    0.000    0.000    0.023    0.000 __init__.py:1174(emit)
